run_name,arch_name,loss_name,channels,strides,lr,weight_decay,batch_size,epochs,best_epoch,loss_train,loss_val,loss_test,dice_train,dice_val,dice_test,hd95_train,hd95_val,hd95_test,train_time
wide_DiceLoss_lr0.001_wd0.0_bs1,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,0.0,1,50,46,0.18354066768661143,0.2416300393640995,0.21619469076395034,0.7410426735877991,0.6835101246833801,0.7182385325431824,6.22104549407959,9.560978889465332,10.28676986694336,15.04895092646281
wide_DiceLoss_lr0.001_wd1e-05_bs1,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,1e-05,1,50,50,0.23656554315239192,0.2768776506185532,0.2510940179228783,0.6931847929954529,0.6365327835083008,0.6718294024467468,6.885980129241943,11.7141752243042,7.931527614593506,15.8399090051651
wide_DiceLoss_lr0.001_wd0.0001_bs1,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,0.0001,1,50,45,0.20262489477172493,0.21871302127838135,0.23123180687427522,0.7386108040809631,0.7192283272743225,0.7041027545928955,11.666897773742676,13.206210136413574,16.938627243041992,16.09133778413137
wide_DiceLoss_lr0.002_wd0.0_bs1,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.002,0.0,1,50,45,0.2150706985965371,0.22984350323677064,0.21800512373447417,0.7465740442276001,0.6985234022140503,0.7152227759361267,11.332185745239258,15.856773376464844,15.565766334533691,16.048270761966705
wide_DiceLoss_lr0.002_wd1e-05_bs1,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.002,1e-05,1,50,50,0.1847640716470778,0.23319206088781358,0.21319579631090163,0.7497221231460571,0.6942614912986755,0.7214546203613281,7.980772495269775,14.343988418579102,16.355451583862305,15.844925944010416
wide_DiceLoss_lr0.002_wd0.0001_bs1,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.002,0.0001,1,50,46,0.2312163921073079,0.24078609608113766,0.2314958691596985,0.7285507321357727,0.6892189979553223,0.7044165134429932,10.958824157714844,18.01926040649414,16.714122772216797,16.09584233760834
wider1_DiceLoss_lr0.001_wd0.0_bs1,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.001,0.0,1,50,46,0.19615579647943376,0.21257282011210918,0.20786509528756142,0.7340763211250305,0.7210198640823364,0.7275938391685486,14.913195610046387,16.80728530883789,15.536108016967773,17.197225348154703
wider1_DiceLoss_lr0.001_wd1e-05_bs1,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.001,1e-05,1,50,49,0.17432840866968036,0.22570993080735208,0.21906471446156503,0.7566097378730774,0.7043645977973938,0.7142532467842102,7.05962610244751,11.918100357055664,16.21481704711914,17.342437418301902
wider1_DiceLoss_lr0.001_wd0.0001_bs1,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.001,0.0001,1,50,50,0.20041625015437603,0.22780194953083993,0.21897671312093736,0.7418321371078491,0.7050227522850037,0.7175486087799072,6.0286078453063965,12.469161987304688,10.619824409484863,17.664442245165507
wider1_DiceLoss_lr0.002_wd0.0_bs1,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.002,0.0,1,50,44,0.19325757604092358,0.22319139614701272,0.2177383631467819,0.7649062871932983,0.7060152292251587,0.7137601971626282,6.4745378494262695,10.958562850952148,13.3560152053833,18.08446176052093
