selection_order,run_name,arch_name,loss_name,lr,weight_decay,batch_size,channels,strides,epochs,best_epoch,train_time,loss_train,loss_val,loss_test,dice_train,dice_val,dice_test,hd95_train,hd95_val,hd95_test,macro_f1_train,macro_f1_val,macro_f1_test,min_disease_recall_train,min_disease_recall_val,min_disease_recall_test,recall_DCM_train,recall_DCM_val,recall_DCM_test,recall_HCM_train,recall_HCM_val,recall_HCM_test,recall_MINF_train,recall_MINF_val,recall_MINF_test,recall_RV_train,recall_RV_val,recall_RV_test,recall_NOR_train,recall_NOR_val,recall_NOR_test
1,01_wider_wider1_DiceLoss_lr0.001_wd0_bs1_ep1000_min250_pat200,wider1,DiceLoss,0.001,0.0,1,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,399,165.09211660226185,0.0767078389413654,0.1704866353422403,0.1798704299330711,0.9132978320121764,0.7742308378219604,0.7616247534751892,1.154630184173584,9.574174880981444,12.813675880432127,0.9753320683111956,0.8418528138528139,0.5964814814814814,0.9375,0.7333333333333333,0.4,0.9375,0.8833333333333332,1.0,1.0,0.7333333333333333,0.5,1.0,0.9333333333333332,0.4,1.0,0.9333333333333332,0.9,0.9375,0.8,0.3
2,02_wider_wider1_DiceLoss_lr0.001_wd1e-05_bs1_ep1000_min250_pat200,wider1,DiceLoss,0.001,1e-05,1,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,250,126.52221566041312,0.1022228209301829,0.1620085045695304,0.1689454780519008,0.867207407951355,0.7874526977539062,0.778516411781311,1.737196683883667,8.358769416809082,9.048126220703123,0.9127609108159394,0.7625714285714285,0.7343246187363835,0.875,0.6666666666666666,0.5,0.875,0.8166666666666667,1.0,0.9375,0.6666666666666666,0.9,0.9375,0.8666666666666666,0.5,0.9375,0.8666666666666666,0.7,0.875,0.6833333333333333,0.6
3,03_wider_wider1_DiceLoss_lr0.001_wd0.0001_bs1_ep1000_min250_pat200,wider1,DiceLoss,0.001,0.0001,1,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,299,140.55089350541434,0.1327745844610035,0.1722630247473716,0.1742232286930084,0.8264124989509583,0.7784970998764038,0.777174711227417,3.788000106811523,14.228912353515623,16.040193557739258,0.913899430740038,0.7432698412698412,0.7497044750914721,0.875,0.7333333333333333,0.6,0.9375,0.8833333333333332,1.0,0.9375,0.75,0.9,0.9375,0.7333333333333333,0.6,0.875,0.8166666666666667,0.8,0.875,0.5833333333333333,0.5
4,04_wider_wider1_DiceLoss_lr0.002_wd0_bs1_ep1000_min250_pat200,wider1,DiceLoss,0.002,0.0,1,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,236,127.19911506175995,0.0864909172058105,0.1698030669242143,0.1697896119952202,0.8846155405044556,0.7750358581542969,0.7751510143280029,1.6166086196899414,6.389012813568115,7.771889209747314,0.9749755620723364,0.8508571428571429,0.669663772759748,0.9375,0.8,0.4,0.9375,0.8166666666666667,1.0,0.9375,0.8,0.6,1.0,0.95,0.4,1.0,0.8666666666666666,0.7,1.0,0.8666666666666666,0.7
5,05_wider_wider1_DiceLoss_lr0.002_wd1e-05_bs1_ep1000_min250_pat200,wider1,DiceLoss,0.002,1e-05,1,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,477,188.9260925650597,0.1050756261684,0.1643421418964862,0.1653695468604564,0.8418065309524536,0.7846577763557434,0.7837439179420471,5.220474243164063,9.373458862304688,16.268156051635742,0.9389339313437988,0.7968888888888889,0.7417429193899782,0.9375,0.7333333333333333,0.5,0.9375,0.8833333333333332,1.0,0.9375,0.7333333333333333,0.8,0.9375,0.7333333333333333,0.5,0.9375,0.8666666666666666,0.7,0.9375,0.8666666666666666,0.7
6,06_wider_wider1_DiceLoss_lr0.002_wd0.0001_bs1_ep1000_min250_pat200,wider1,DiceLoss,0.002,0.0001,1,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,453,184.95133819977443,0.168138315808028,0.1868727523833513,0.1829485586285591,0.7743371725082397,0.7602449655532837,0.7664726376533508,5.652102470397949,9.949880599975586,11.2249116897583,0.9127609108159394,0.7234603174603175,0.7551587301587303,0.8125,0.5499999999999999,0.5,1.0,0.8666666666666666,1.0,0.8125,0.5499999999999999,0.8,0.9375,0.8166666666666667,0.5,0.875,0.7333333333333333,0.7,0.9375,0.7499999999999999,0.8
7,07_wider_wider2_DiceLoss_lr0.001_wd0_bs1_ep1000_min250_pat200,wider2,DiceLoss,0.001,0.0,1,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,305,193.16666295528407,0.0685337048023939,0.1615956868976354,0.1619278338551521,0.9102428555488586,0.785970151424408,0.7854352593421936,1.2705841064453125,6.795365810394287,6.735238075256348,0.9749755620723364,0.8767936507936508,0.7312044817927171,0.9375,0.8,0.5,0.9375,0.8666666666666666,1.0,1.0,0.8,0.6,1.0,0.9333333333333332,0.5,1.0,0.9333333333333332,0.8,0.9375,0.8666666666666666,0.8
8,08_wider_wider2_DiceLoss_lr0.001_wd1e-05_bs1_ep1000_min250_pat200,wider2,DiceLoss,0.001,1e-05,1,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,467,253.07938557465872,0.1188731100410223,0.1727728590369224,0.1722942245006561,0.8622055053710938,0.7728896737098694,0.7739382982254028,2.221726655960083,7.45376443862915,8.378310203552246,0.9506365097021382,0.8197142857142856,0.6457789269553976,0.8125,0.75,0.4,1.0,0.9333333333333332,1.0,0.8125,0.7999999999999999,0.8,1.0,0.7666666666666667,0.4,0.9375,0.75,0.5,1.0,0.8833333333333334,0.6
9,09_wider_wider2_DiceLoss_lr0.001_wd0.0001_bs1_ep1000_min250_pat200,wider2,DiceLoss,0.001,0.0001,1,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,539,285.5085130850474,0.1670778010040521,0.1938959416002035,0.1912282091379165,0.7605085372924805,0.7486085891723633,0.7528434991836548,6.322277069091797,7.9112548828125,9.04138469696045,0.8479949399114485,0.7112698412698413,0.6803985230455819,0.75,0.5999999999999999,0.5,0.9375,0.8833333333333332,0.9,0.75,0.5999999999999999,0.7,0.9375,0.7833333333333333,0.5,0.9375,0.8666666666666666,0.5,0.6875,0.4833333333333333,0.8
10,10_wider_wider2_DiceLoss_lr0.002_wd0_bs1_ep1000_min250_pat200,wider2,DiceLoss,0.002,0.0,1,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,208,173.38715783754984,0.0846357963979244,0.1597699090838432,0.1679067799448967,0.8872038125991821,0.7882604598999023,0.7775353789329529,1.6453758478164673,6.405075073242188,9.014389038085938,0.9624877810361682,0.81615873015873,0.6498692810457517,0.9375,0.75,0.5,0.9375,0.8833333333333332,1.0,1.0,0.8,0.7,1.0,0.8833333333333332,0.5,0.9375,0.75,0.7,0.9375,0.7999999999999999,0.4
