run_name,arch_name,loss_name,selected_from_source,source_run_name,selection_order,selection_count,channels,strides,lr,weight_decay,batch_size,epochs,best_epoch,loss_train,loss_val,loss_test,dice_train,dice_val,dice_test,hd95_train,hd95_val,hd95_test,train_time
01_wider_wider2_DiceLoss_lr0.001_wd0.0_bs2_ep500,wider2,DiceLoss,wider,wider2_DiceLoss_lr0.001_wd0.0_bs2,1,3,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,0.0,2,500,145,0.1012652073055505,0.1657335244119167,0.168527628481388,0.8606706857681274,0.7771080732345581,0.7694780230522156,1.8169151544570925,6.219237327575684,10.987669944763184,48.46456152598064
02_wider_wider1_DiceLoss_lr0.001_wd0.0_bs1_ep500,wider1,DiceLoss,wider,wider1_DiceLoss_lr0.001_wd0.0_bs1,2,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.001,0.0,1,500,183,0.0945419962517917,0.1699136923998594,0.1759375619888305,0.8760195970535278,0.7755078077316284,0.7675744891166687,1.997867226600647,8.816976547241211,8.933341026306152,56.93498021761577
03_wider_wider1_DiceLoss_lr0.001_wd1e-05_bs2_ep500,wider1,DiceLoss,wider,wider1_DiceLoss_lr0.001_wd1e-05_bs2,3,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.001,1e-05,2,500,133,0.1158696729689836,0.1787795163691043,0.1725706008076667,0.8388665914535522,0.7601587176322937,0.762921929359436,2.8146798610687256,11.82972240447998,13.380451202392578,31.744778442382813
04_wider_wider1_DiceLoss_lr0.002_wd1e-05_bs2_ep500,wider1,DiceLoss,wider,wider1_DiceLoss_lr0.002_wd1e-05_bs2,4,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.002,1e-05,2,500,168,0.1334775399416685,0.1740286715328693,0.1681658285856247,0.8235430717468262,0.7679629325866699,0.7718814015388489,5.452128410339356,8.54776668548584,13.2450590133667,39.18052154779434
05_wider_wider1_DiceLoss_lr0.002_wd1e-05_bs1_ep500,wider1,DiceLoss,wider,wider1_DiceLoss_lr0.002_wd1e-05_bs1,5,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.002,1e-05,1,500,139,0.1506203950382769,0.1759180787950754,0.1822686691582203,0.811333954334259,0.7697951197624207,0.7619977593421936,3.2570528984069824,10.046090126037598,15.15926742553711,44.357033503055575
06_wider_wider1_DiceLoss_lr0.001_wd0.0_bs2_ep500,wider1,DiceLoss,wider,wider1_DiceLoss_lr0.001_wd0.0_bs2,6,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.001,0.0,2,500,97,0.1296149555593729,0.1885110132396221,0.1837729603052139,0.8121204376220703,0.7492270469665527,0.7452368140220642,3.3405508995056152,6.767295837402344,10.69729995727539,28.170940498511
07_wider_wider2_DiceLoss_lr0.001_wd1e-05_bs1_ep500,wider2,DiceLoss,wider,wider2_DiceLoss_lr0.001_wd1e-05_bs1,7,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,1e-05,1,500,134,0.1365664539858699,0.1687345042824745,0.1649101601541042,0.8173415064811707,0.7787303924560547,0.7843852043151855,3.967846632003784,8.133882522583008,9.211430549621582,56.99718184471131
08_wide_wide_DiceLoss_lr0.001_wd0.0_bs2_ep500,wide,DiceLoss,wide,wide_DiceLoss_lr0.001_wd0.0_bs2,8,1,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,0.0,2,500,156,0.1091490799561143,0.1909513793885708,0.1825715926289558,0.8372526168823242,0.7415187954902649,0.7498168349266052,2.0381033420562744,8.84093952178955,11.863824844360352,32.47544274727503
09_wider_wide_DiceLoss_lr0.001_wd0.0001_bs1_ep500,wide,DiceLoss,wider,wide_DiceLoss_lr0.001_wd0.0001_bs1,9,2,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,0.0001,1,500,123,0.1545877812430262,0.1878244519233703,0.1889572668075561,0.7945631742477417,0.758095383644104,0.757649838924408,4.637834548950195,6.015590667724609,10.326430320739746,37.63160733779272
10_wider_wider2_DiceLoss_lr0.001_wd0.0_bs1_ep500,wider2,DiceLoss,wider,wider2_DiceLoss_lr0.001_wd0.0_bs1,10,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,0.0,1,500,122,0.1177888219244778,0.1748962368816137,0.1736656703054905,0.8440739512443542,0.7690838575363159,0.7709435224533081,3.48257064819336,9.55846118927002,10.931347846984863,52.38264410893122
11_wider_wider2_DiceLoss_lr0.001_wd0.0001_bs2_ep500,wider2,DiceLoss,wider,wider2_DiceLoss_lr0.001_wd0.0001_bs2,11,1,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,0.0001,2,500,138,0.1602634310722351,0.1841077595949173,0.1708877247571945,0.7933268547058105,0.7640765905380249,0.7741393446922302,5.200104713439941,9.18300724029541,9.283823013305664,47.19252346754074
12_wide_wide_DiceLoss_lr0.001_wd0.0_bs1_ep500,wide,DiceLoss,wide,wide_DiceLoss_lr0.001_wd0.0_bs1,12,1,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,0.0,1,500,156,0.1184733762405812,0.1935108918696642,0.1864966256916523,0.8503350019454956,0.7450522780418396,0.7546994090080261,2.8171544075012207,8.773236274719238,10.999716758728027,46.439631231625874
13_wide_wide_DiceLoss_lr0.0005_wd1e-05_bs2_ep500,wide,DiceLoss,wide,wide_DiceLoss_lr0.0005_wd1e-05_bs2,13,1,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.0005,1e-05,2,500,119,0.1315239384770393,0.2019457891583442,0.1911716598272323,0.8260539770126343,0.7295289635658264,0.7398623824119568,2.847803831100464,12.117439270019531,11.319899559020996,26.01484611431757
14_wide_wide_DiceCELoss_lr0.001_wd1e-05_bs1_ep500,wide,DiceCELoss,wide,wide_DiceCELoss_lr0.001_wd1e-05_bs1,14,1,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,1e-05,1,500,141,0.1299670731648802,0.2225915655493736,0.2302795498073101,0.830330491065979,0.7564312219619751,0.7464712262153625,3.4949042797088623,8.13973331451416,14.18646240234375,43.078519546985625
15_wide_wide_DiceCELoss_lr0.001_wd1e-05_bs2_ep500,wide,DiceCELoss,wide,wide_DiceCELoss_lr0.001_wd1e-05_bs2,15,1,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,1e-05,2,500,103,0.1425225829705595,0.2366985082626342,0.2204845803976059,0.8164304494857788,0.724862277507782,0.7416841387748718,3.076436281204224,7.477741241455078,10.535103797912598,25.99419978062312
16_wide_wide_DiceLoss_lr0.0005_wd1e-05_bs5_ep500,wide,DiceLoss,wide,wide_DiceLoss_lr0.0005_wd1e-05_bs5,16,1,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.0005,1e-05,5,500,171,0.1171663398854434,0.1910935938358307,0.1847904965281486,0.8558558225631714,0.736829400062561,0.735924482345581,2.8023276329040527,8.630017280578613,11.11388874053955,29.40591120322545
17_wide_wide_DiceCELoss_lr0.001_wd1e-05_bs5_ep500,wide,DiceCELoss,wide,wide_DiceCELoss_lr0.001_wd1e-05_bs5,17,1,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,1e-05,5,500,109,0.1658049374818802,0.2141956612467765,0.2264511808753013,0.8003055453300476,0.7500383853912354,0.7294709086418152,3.1803789138793945,8.873228073120117,13.473896026611328,21.67405362526576
18_wide_wide_DiceCELoss_lr0.001_wd0.0001_bs5_ep500,wide,DiceCELoss,wide,wide_DiceCELoss_lr0.001_wd0.0001_bs5,18,1,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,0.0001,5,500,161,0.15386096248403192,0.22416133806109428,0.21754510551691056,0.8067261576652527,0.7378556132316589,0.7423286437988281,3.1318206787109375,11.73451042175293,13.970355987548828,27.97282946507136
