fold,split,macro_f1,min_disease_recall,recall_DCM,recall_HCM,recall_MINF,recall_NOR,recall_RV
1,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
1,val,0.739047619047619,0.5,1.0,0.5,0.5,1.0,0.75
1,test,0.7758424193476017,0.6,0.9,0.7,0.6,0.7,1.0
2,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
2,val,0.8425396825396826,0.5,1.0,1.0,0.5,1.0,0.75
2,test,0.7898128342245989,0.5,1.0,1.0,0.5,0.6,0.9
3,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,val,0.8933333333333333,0.5,0.5,1.0,1.0,1.0,1.0
3,test,0.7953058652210625,0.6,0.9,0.8,0.6,0.7,1.0
4,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
4,val,0.8047619047619048,0.75,0.75,0.75,0.75,0.75,1.0
4,test,0.7772005772005771,0.6,0.8,0.7,0.6,0.8,1.0
5,train,0.9749755620723363,0.9375,0.9375,1.0,1.0,0.9375,1.0
5,val,0.8528571428571429,0.75,0.75,0.75,1.0,0.75,1.0
5,test,0.7964904122664251,0.5,0.8,0.9,0.5,0.8,1.0
