fold,split,macro_f1,min_disease_recall,recall_DCM,recall_HCM,recall_MINF,recall_NOR,recall_RV
1,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
1,val,0.6853968253968254,0.5,1.0,0.5,0.5,1.0,0.5
1,test,0.7555835667600374,0.5,0.9,0.7,0.5,0.8,0.9
2,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
2,val,0.8520634920634921,0.75,1.0,0.75,0.75,1.0,0.75
2,test,0.7657395236342605,0.4,1.0,1.0,0.4,0.7,0.8
3,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,val,0.9,0.75,0.75,1.0,0.75,1.0,1.0
3,test,0.8382259997820638,0.6,0.9,1.0,0.6,0.8,0.9
4,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
4,val,0.8492063492063492,0.75,1.0,0.75,0.75,0.75,1.0
4,test,0.8121494447581403,0.6,0.9,1.0,0.6,0.6,1.0
5,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
5,val,0.8492063492063492,0.75,1.0,0.75,0.75,0.75,1.0
5,test,0.771082251082251,0.6,0.8,1.0,0.6,0.5,1.0
