fold,split,macro_f1,min_disease_recall,recall_DCM,recall_HCM,recall_MINF,recall_NOR,recall_RV
1,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
1,val,0.6287878787878788,0.25,1.0,0.5,0.25,0.75,0.75
1,test,0.734697357203751,0.4,0.8,0.8,0.4,0.7,1.0
2,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
2,val,0.8425396825396826,0.5,1.0,0.75,0.5,1.0,1.0
2,test,0.7101754385964912,0.3,0.9,0.8,0.3,0.7,0.9
3,train,0.9874877810361682,1.0,1.0,1.0,1.0,0.9375,1.0
3,val,0.9492063492063492,0.75,0.75,1.0,1.0,1.0,1.0
3,test,0.7933333333333333,0.5,1.0,0.8,0.5,0.7,1.0
4,train,0.9874877810361682,0.9375,0.9375,1.0,1.0,1.0,1.0
4,val,0.8492063492063492,0.75,1.0,0.75,0.75,0.75,1.0
4,test,0.6907245832942427,0.6,0.8,0.6,0.6,0.5,1.0
5,train,0.9749755620723363,0.9375,0.9375,1.0,1.0,0.9375,1.0
5,val,0.8492063492063492,0.75,1.0,0.75,0.75,0.75,1.0
5,test,0.7034014447884417,0.5,0.9,0.8,0.5,0.4,1.0
